Symbol,Name,Sector,Price,Dividend Yield,Price/Earnings,Earnings/Share,Book Value,52 week low,52 week high,Market Cap,EBITDA,Price/Sales,Price/Book,SEC Filings
ECL,Ecolab,Materials,107.31,1.22,28.75,3.73,22.97,99.08,122.48,31.69,2.92,2.41,4.92,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=ECL
EIX,Edison International,Utilities,58.40,3.24,12.66,4.61,35.60,55.18,69.59,19.03,4.05,1.56,1.66,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=EIX
EW,Edwards Lifesciences,Health Care,80.29,,38.02,2.11,11.24,61.38,83.43,17.32,0.6892999999999999,7.07,7.12,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=EW
EA,Electronic Arts,Information Technology,63.74,,25.21,2.53,10.12,45.21,76.92,19.81,1.14,4.66,6.42,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=EA
EMC,EMC Corp,Information Technology,25.40,1.79,21.34,1.19,10.54,22.66,29.81,49.25,5.21,2.00,2.42,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=EMC
EMR,Emerson Electric,Industrials,46.48,3.97,11.65,3.99,12.35,42.21,62.75,30.42,4.26,1.38,3.81,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=EMR
ENDP,Endo International plc,Health Care,57.97,,,-7.97,28.25,46.66,96.58,13.13,0.78218,4.01,2.10,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=ENDP
ESV,ENSCO Plc,Energy,13.52,3.88,,-11.15,38.26,12.60,32.28,3.18,2.31,0.80,0.39,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=ESV
ETR,Entergy Corp,Utilities,68.6001,4.9700,,-0.8680,51.3330,61.2700,90.3300,12.24,3.81,1.0392,1.3432,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=ETR
EOG,EOG Resources,Energy,67.39,0.95,,-6.96,24.17,66.90,101.36,37.04,4.98,3.72,2.90,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=EOG
EQT,EQT Corp,Energy,50.23,0.23,37.26,1.35,33.90,47.10,92.79,7.66,1.66,3.65,1.55,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=EQT
EFX,Equifax,Industrials,109.435,1.040,31.989,3.421,18.833,80.170,114.460,12.97,0.9122,4.976,5.847,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=EFX
EQIX,Equinix,Financials,304.73,2.24,,-3.23,25.99,213.89,305.63,17.46,1.10,6.60,11.68,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=EQIX
EQR,Equity Residential,Financials,80.80,2.71,33.62,2.40,28.67,61.90,82.53,29.43,1.75,10.97,2.84,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=EQR
ESS,Essex Property Trust,Financials,238.82,2.41,82.27,2.90,94.23,205.72,244.71,15.77,0.7810900000000001,13.37,2.55,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=ESS
EL,Estee Lauder Co,Consumer Staples,85.67,1.36,28.09,3.05,9.42,70.38,91.68,31.63,2.10,2.96,9.35,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=EL
ES,Eversource Energy,Utilities,51.41,3.27,17.85,2.88,32.46,44.64,56.83,16.31,2.48,2.00,1.58,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=ES
EXC,Exelon Corp,Utilities,28.135,4.470,12.493,2.252,28.024,25.090,38.250,25.87,8.26,0.863,1.005,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=EXC
EXPE,Expedia,Consumer Discretionary,119.96,0.77,18.82,6.37,18.81,76.34,140.51,15.58,0.70266,2.46,6.38,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=EXPE
EXPD,"Expeditors International,Wash",Industrials,44.10,1.60,19.09,2.31,9.88,42.17,51.80,8.22,0.74754,1.22,4.51,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=EXPD
ESRX,Express Scripts Holding,Health Care,87.255,,27.148,3.214,24.455,68.060,94.610,59.01,6.93,0.581,3.582,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=ESRX
XOM,Exxon Mobil,Energy,77.31,3.75,16.33,4.73,41.01,66.55,93.45,321.84,37.45,1.23,1.90,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=XOM
FFIV,F5 Networks,Information Technology,96.15,,19.12,5.03,18.77,94.51,135.20,6.77,0.59488,3.54,5.14,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=FFIV
FB,Facebook Cl,Information Technology,103.26,,103.67,1.00,14.72,72.00,110.65,292.02,6.66,18.23,6.98,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=FB
FAST,Fastenal Co,Industrials,40.03,2.74,22.50,1.78,6.16,34.45,47.03,11.60,0.91743,2.97,6.46,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=FAST
FDX,FedEx Corp,Industrials,142.3726,0.6700,36.5058,3.9000,54.3870,130.1300,185.1900,39.24,7.27,0.8210,2.6596,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=FDX
FIS,Fidelity National Information Services,Information Technology,59.38,1.72,23.54,2.52,23.14,58.49,73.60,16.75,1.66,2.65,2.61,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=FIS
