Symbol,Name,Sector,Price,Dividend Yield,Price/Earnings,Earnings/Share,Book Value,52 week low,52 week high,Market Cap,EBITDA,Price/Sales,Price/Book,SEC Filings
RF,Regions Financial,Financials,9.31,2.50,13.32,0.70,12.36,8.54,10.87,12.15,0.00,2.48,0.76,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=RF
RSG,Republic Services,Industrials,43.87,2.73,24.72,1.77,22.43,38.95,45.35,15.23,2.39,1.68,1.95,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=RSG
RAI,Reynolds American,Consumer Staples,47.43,3.12,17.88,2.65,12.93,31.92,49.56,67.78,3.50,6.82,3.60,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=RAI
RHI,Robert Half International,Industrials,45.52,1.70,17.44,2.61,7.67,44.95,63.27,5.98,0.6219199999999999,1.21,6.04,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=RHI
ROK,Rockwell Automation,Industrials,98.32,2.83,16.14,6.09,17.05,98.20,127.05,12.98,1.31,2.11,5.90,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=ROK
COL,Rockwell Collins,Industrials,91.415,1.430,17.820,5.130,14.215,78.150,99.370,12.02,1.20,2.322,6.516,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=COL
ROP,Roper Technologies,Industrials,185.32,0.63,27.91,6.64,50.88,144.62,195.93,18.68,1.24,5.27,3.68,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=ROP
ROST,Ross Stores,Consumer Discretionary,53.9871,0.8700,22.0355,2.4500,5.9110,43.4700,56.6800,21.87,1.87,1.8910,9.2590,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=ROST
RCL,Royal Caribbean Cruises,Consumer Discretionary,96.14,1.48,37.31,2.58,37.53,65.91,103.40,21.15,1.97,2.59,2.57,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=RCL
R,Ryder System,Industrials,55.495,2.890,12.338,4.498,36.538,53.540,100.640,2.96,1.75,0.461,1.549,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=R
CRM,salesforce.com inc,Information Technology,76.87,,,-0.13,7.15,54.95,82.90,51.04,0.39981,8.12,10.77,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=CRM
SNDK,SanDisk Corp,Information Technology,75.505,1.580,36.493,2.069,28.073,44.280,98.420,15.15,1.48,2.653,2.710,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=SNDK
SCG,SCANA Corp,Utilities,61.05,3.60,11.59,5.27,37.92,49.89,65.57,8.73,1.53,1.88,1.61,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=SCG
HSIC,Schein (Henry),Health Care,154.65,,27.12,5.70,35.25,126.17,161.62,12.82,0.9172,1.23,4.42,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=HSIC
SLB,Schlumberger Ltd,Energy,68.87,2.87,26.09,2.64,30.09,66.57,95.13,86.85,11.21,2.17,2.31,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=SLB
SCHW,Schwab(Charles)Corp,Financials,31.22,0.73,31.54,0.99,8.92,25.43,35.72,41.10,0.00,6.77,3.57,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=SCHW
SNI,Scripps Networks Interact,Consumer Discretionary,52.4101,1.6700,12.0984,4.3320,11.5110,47.6200,76.5900,6.74,1.28,2.4211,4.6390,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=SNI
STX,Seagate Technology Plc,Information Technology,34.73,6.87,8.07,4.31,6.43,32.38,66.97,10.39,1.98,0.84,5.65,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=STX
SEE,Sealed Air,Materials,42.94,1.17,32.53,1.32,2.24,38.42,55.84,8.48,1.11,1.18,19.44,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=SEE
SRE,Sempra Energy,Utilities,93.21,2.98,18.32,5.09,46.79,89.44,116.21,23.16,3.03,2.28,2.02,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=SRE
SHW,Sherwin-Williams,Materials,249.58,1.03,24.03,10.39,10.59,218.27,294.35,23.01,1.68,2.09,24.16,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=SHW
SIAL,Sigma-Aldrich,Materials,139.76,0.66,,4.09,0.00,135.33,140.03,,0.00,,,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=SIAL
SIG,Signet Jewelers,Consumer Discretionary,127.70,0.71,24.11,5.30,35.79,114.77,152.27,10.16,0.8872000000000001,1.50,3.51,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=SIG
SPG,Simon Property Group,Financials,195.67,3.29,36.64,5.34,14.05,170.99,208.14,60.54,3.76,11.92,13.96,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=SPG
SWKS,Skyworks Solutions,Information Technology,70.085,1.350,17.094,4.100,16.601,69.250,112.880,13.40,1.22,4.299,4.415,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=SWKS
SLG,SL Green Realty,Financials,108.91,2.55,47.81,2.28,70.40,99.97,135.81,10.86,0.93349,6.73,1.58,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=SLG
SJM,Smucker (J.M.),Consumer Staples,123.16,2.17,36.19,3.40,60.44,98.23,125.33,14.74,1.42,2.13,2.04,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=SJM
SNA,Snap-On,Industrials,168.07,1.42,21.44,7.84,40.66,129.14,174.52,9.76,0.8136,2.72,4.14,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=SNA
SO,Southern Co,Utilities,47.1491,4.6400,18.0371,2.6140,22.7340,41.4000,53.1600,42.86,6.56,2.3998,2.0832,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=SO
LUV,Southwest Airlines,Industrials,43.40,0.70,15.97,2.72,10.71,31.36,51.34,28.23,4.66,1.43,3.96,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=LUV
SWN,Southwestern Energy,Energy,6.905,0.000,,-5.944,11.609,5.000,29.610,2.64,1.75,0.858,0.659,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=SWN
SE,Spectra Energy,Energy,24.75,6.18,21.52,1.15,10.75,21.43,38.47,16.62,2.68,3.06,2.34,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=SE
STJ,St. Jude Medical,Health Care,60.06,1.88,17.06,3.52,14.15,59.71,80.84,16.98,1.66,3.11,4.30,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=STJ
SWK,Stanley Black & Decker,Industrials,102.25,2.06,20.71,4.94,37.66,90.08,111.18,15.31,1.88,1.36,2.73,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=SWK
SPLS,Staples,Consumer Discretionary,9.495,5.070,193.776,0.049,8.296,9.030,19.400,6.11,1.39,0.291,1.169,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=SPLS
SBUX,Starbucks Corp,Consumer Discretionary,58.4528,1.3300,32.1169,1.8200,3.9180,39.5000,64.0000,86.79,4.30,4.5444,14.9694,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=SBUX
HOT,Starwood Hotels&Res World,Consumer Discretionary,65.89,2.17,20.24,3.26,7.39,63.99,87.99,11.14,1.10,3.70,9.21,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=HOT
STT,State Street Corp,Financials,63.645,2.050,14.867,4.281,46.551,63.410,81.260,25.68,0.00,2.518,1.401,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=STT
SRCL,Stericycle,Industrials,120.33,,38.57,3.12,31.98,110.56,151.57,10.23,0.7186699999999999,3.69,3.77,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=SRCL
SYK,Stryker Corp,Health Care,90.54,1.64,29.50,3.07,22.59,89.56,105.34,34.00,2.64,3.47,4.02,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=SYK
STI,SunTrust Banks,Financials,41.23,2.24,12.17,3.39,43.57,36.52,45.84,21.13,0.00,2.72,0.96,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=STI
SYMC,Symantec Corp,Information Technology,20.79,2.86,21.41,0.97,8.66,19.07,27.32,14.04,1.73,2.29,2.41,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=SYMC
SYY,Sysco Corp,Consumer Staples,40.205,3.020,36.818,1.092,8.900,35.450,42.030,22.70,2.34,0.467,4.531,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=SYY
TROW,T.Rowe Price Group,Financials,69.10,2.91,14.92,4.63,18.57,65.88,85.22,17.35,2.05,4.24,3.80,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=TROW
TGT,Target Corp,Consumer Discretionary,74.06,3.08,,-1.11,21.43,68.15,85.81,45.62,7.41,0.62,3.49,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=TGT
TEL,TE Connectivity,Information Technology,62.35,2.04,10.59,5.89,24.33,54.32,73.73,24.09,2.61,2.00,2.60,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=TEL
TE,TECO Energy,Utilities,26.90,3.38,47.28,0.57,10.89,17.60,27.23,6.33,0.8959,2.30,2.48,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=TE
TGNA,TEGNA,Consumer Discretionary,24.711,2.190,5.755,4.294,9.621,21.300,38.480,5.48,1.57,0.849,2.563,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=TGNA
THC,Tenet Healthcare,Health Care,27.995,0.000,159.062,0.176,8.053,26.600,60.930,2.79,2.27,0.159,3.586,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=THC
TDC,Teradata Corp,Information Technology,24.93,,,-0.32,7.44,24.00,47.03,3.32,0.442,1.32,3.43,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=TDC
TSO,Tesoro Petroleum Co,Energy,105.285,1.900,8.157,12.908,43.837,64.160,119.670,12.90,3.58,0.429,2.424,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=TSO
TXN,Texas Instruments,Information Technology,53.70,2.77,19.27,2.79,9.78,43.49,59.99,54.47,5.34,4.17,5.50,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=TXN
TXT,Textron,Industrials,40.48,0.19,16.58,2.44,17.15,32.20,46.93,11.08,1.58,0.84,2.43,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=TXT
TMO,Thermo Fisher Scientific,Health Care,138.00,0.42,28.11,4.91,52.24,117.10,143.65,55.08,4.06,3.29,2.65,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=TMO
TIF,Tiffany & Co,Consumer Discretionary,73.34,2.10,19.14,3.83,22.25,71.80,106.52,9.40,1.01,2.28,3.34,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=TIF
TWX,Time Warner,Consumer Discretionary,69.29,2.16,15.77,4.39,29.45,62.94,91.34,55.40,8.02,1.83,2.22,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=TWX
TWC,Time Warner Cable,Consumer Discretionary,182.02,1.62,27.22,6.69,30.88,134.21,194.22,51.55,7.83,2.21,5.92,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=TWC
TJX,TJX Companies,Consumer Discretionary,70.12,1.18,21.35,3.28,6.50,63.53,76.93,46.95,4.27,1.59,11.07,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=TJX
TMK,Torchmark Corp,Financials,56.06,0.94,13.30,4.21,34.62,49.77,63.26,6.91,0.86021,1.74,1.65,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=TMK
TSS,Total System Services,Information Technology,48.22,0.80,24.73,1.95,10.19,33.12,56.69,8.87,0.65396,3.31,4.76,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=TSS
TSCO,Tractor Supply,Consumer Discretionary,82.37,0.94,27.52,2.99,9.93,74.52,96.28,11.07,0.77578,1.82,8.43,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=TSCO
RIG,Transocean Ltd,Energy,11.3589,0.0000,,-1.5510,37.7210,11.2600,21.9000,4.13,3.21,0.5790,0.3221,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=RIG
TRV,TravelersCompanies,Financials,109.47,2.16,9.80,11.17,79.00,95.21,116.48,33.30,6.19,1.25,1.40,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=TRV
TRIP,TripAdvisor,Consumer Discretionary,80.94,,50.91,1.59,9.20,62.24,94.00,11.67,0.366,8.03,8.91,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=TRIP
FOXA,Twenty-First Century Fox,Consumer Discretionary,26.995,1.100,7.087,3.809,7.733,22.810,36.790,53.16,6.13,1.927,3.439,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=FOXA
TYC,Tyco International,Industrials,30.935,2.570,24.074,1.285,9.576,30.430,44.230,13.08,1.53,1.341,3.280,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=TYC
TSN,Tyson Foods,Consumer Staples,52.78,1.13,17.89,2.95,24.18,37.10,54.42,21.15,3.10,0.51,2.16,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=TSN
USB,U.S. Bancorp,Financials,41.31,2.39,13.11,3.15,22.99,38.81,46.26,72.26,0.00,3.95,1.81,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=USB
UA,Under Armour,Consumer Discretionary,80.39,,82.20,0.98,7.11,63.77,105.89,17.35,0.47548,4.69,11.27,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=UA
UNP,Union Pacific,Industrials,75.59,2.81,13.04,5.80,24.07,74.78,124.52,64.56,10.49,2.94,3.25,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=UNP
UAL,United Continental Holdin,Industrials,55.23,0.00,3.20,17.26,22.89,49.20,74.52,20.59,6.78,0.54,2.41,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=UAL
UPS,United Parcel Service,Industrials,95.12,3.03,21.81,4.36,2.16,93.64,114.40,84.70,8.39,1.47,44.28,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=UPS
URI,United Rentals,Industrials,67.54,,10.96,6.16,16.13,56.66,105.83,6.27,1.82,1.11,4.34,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=URI
UTX,United Technologies,Industrials,93.97,2.66,14.52,6.47,34.41,85.50,124.45,83.35,11.57,1.33,2.78,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=UTX
UNH,UnitedHealth Group,Health Care,115.93,1.70,18.40,6.30,34.75,95.00,126.21,110.49,12.49,0.76,3.36,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=UNH
UHS,Univl Health Services,Health Care,116.69,0.33,17.34,6.73,41.97,101.20,148.57,11.49,1.65,1.33,2.82,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=UHS
UNM,Unum Group,Financials,31.82,2.22,21.63,1.47,35.25,29.81,38.15,7.75,0.7006,0.75,0.92,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=UNM
URBN,Urban Outfitters,Consumer Discretionary,22.09,,12.38,1.78,9.64,19.26,47.25,2.59,0.49589999999999995,0.77,2.34,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=URBN
VLO,Valero Energy,Energy,70.52,2.83,7.42,9.51,44.14,43.45,73.88,33.96,9.28,0.35,1.61,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=VLO
VAR,Varian Medical Systems,Health Care,78.32,0.00,19.15,4.09,17.45,71.07,96.67,7.59,0.63409,2.46,4.52,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=VAR
VTR,Ventas,Financials,56.975,5.170,46.134,1.235,28.860,49.310,81.930,18.97,1.88,5.541,2.001,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=VTR
VRSN,VeriSign,Information Technology,81.40,0.00,32.05,2.54,-9.22,53.48,93.94,9.08,0.6522,8.71,,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=VRSN
VZ,Verizon Communications,Telecommunication Services,45.63,4.89,18.31,2.49,3.23,38.06,50.86,185.66,37.23,1.43,14.23,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=VZ
VRTX,Vertex Pharmaceuticals,Health Care,122.46,,,-2.74,3.75,97.45,143.45,30.09,-0.50022,39.97,32.88,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=VRTX
VFC,VF Corp,Consumer Discretionary,60.74,2.38,25.27,2.40,12.58,60.25,77.83,25.89,2.11,2.08,4.87,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=VFC
VIAB,Viacom,Consumer Discretionary,40.62,3.89,8.59,4.73,8.89,36.32,74.17,16.11,4.12,1.21,4.56,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=VIAB
V,Visa,Information Technology,75.73,0.72,29.19,2.59,12.26,60.00,81.01,184.06,9.32,13.36,6.22,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=V
VNO,Vornado Realty Trust,Financials,98.60,2.52,19.41,5.08,28.67,84.60,115.73,18.59,1.35,6.75,3.48,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=VNO
VMC,Vulcan Materials,Materials,91.91,0.42,72.60,1.27,32.73,65.06,106.84,12.25,0.74622,3.72,2.83,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=VMC
WMT,Wal-Mart Stores,Consumer Staples,63.70,3.20,13.64,4.67,24.79,56.30,90.97,203.96,34.73,0.42,2.54,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=WMT
WBA,Walgreens Boots Alliance,Consumer Staples,80.77,1.69,20.19,4.00,28.32,73.00,97.30,87.94,6.87,0.85,2.86,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=WBA
DIS,Walt Disney Co,Consumer Discretionary,101.025,1.350,20.617,4.900,26.806,90.000,122.080,167.01,15.64,3.179,3.764,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=DIS
WM,Waste Management,Industrials,53.07,2.89,22.75,2.33,11.73,45.86,55.93,23.70,3.43,1.79,4.49,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=WM
WAT,Waters Corp,Health Care,130.75,0.00,23.31,5.61,24.11,112.30,137.39,10.68,0.6649299999999999,5.20,5.38,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=WAT
WEC,WEC Energy Group,Utilities,51.82,3.86,22.29,2.33,27.34,44.93,58.01,16.36,1.68,3.09,1.90,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=WEC
WFC,Wells Fargo,Financials,52.465,2.760,12.673,4.140,33.712,47.750,58.770,267.98,0.00,3.223,1.569,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=WFC
HCN,Welltower,Financials,69.85,4.85,27.37,2.55,38.64,58.19,84.88,24.72,1.83,6.84,1.81,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=HCN
WDC,Western Digital,Information Technology,58.88,3.33,10.46,5.63,40.42,57.94,113.88,13.64,2.71,1.00,1.49,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=WDC
WU,Western Union,Information Technology,17.26,3.46,10.65,1.62,2.66,16.73,22.84,8.72,1.40,1.61,6.59,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=WU
WRK,WestRock Co ,Materials,44.71,3.29,15.26,2.93,45.75,42.75,66.40,11.39,1.84,1.02,0.99,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=WRK
WY,Weyerhaeuser Co,Financials,29.27,4.14,26.90,1.09,9.52,26.73,37.04,14.94,1.52,2.14,3.14,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=WY
WHR,Whirlpool Corp,Consumer Discretionary,142.68,2.45,16.68,8.56,62.35,140.50,217.11,11.16,2.05,0.53,2.32,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=WHR
WFM,Whole Foods Market,Consumer Staples,34.01,1.61,22.98,1.48,10.80,28.73,57.57,11.61,1.40,0.75,3.11,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=WFM
WMB,WilliamsCompanies,Energy,24.60,9.96,55.28,0.44,9.86,20.95,61.38,18.44,2.97,2.63,2.67,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=WMB
WYN,Wyndham Worldwide,Consumer Discretionary,70.435,2.310,15.406,4.572,8.759,69.770,94.350,8.17,1.24,1.519,8.156,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=WYN
WYNN,Wynn Resorts,Consumer Discretionary,67.9001,2.8900,35.3831,1.9190,-1.7480,50.9600,160.4100,6.87,1.07,1.6612,,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=WYNN
XEL,Xcel Energy,Utilities,36.37,3.56,18.98,1.92,20.79,31.76,38.35,18.46,3.16,1.62,1.73,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=XEL
XRX,Xerox Corp,Information Technology,10.15,2.63,33.06,0.31,9.00,9.17,14.15,10.28,1.69,0.56,1.14,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=XRX
XLNX,Xilinx,Information Technology,45.31,2.64,21.17,2.14,10.13,37.20,50.72,11.64,0.77639,5.34,4.59,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=XLNX
XL,XL Group Plc,Financials,38.00,2.04,9.57,3.97,39.88,25.56,40.48,11.31,1.47,1.36,0.96,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=XL
XYL,Xylem,Industrials,35.66,1.54,20.25,1.76,11.39,29.90,38.00,6.40,0.598,1.75,3.17,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=XYL
YHOO,Yahoo,Information Technology,32.39,,129.56,0.25,29.94,27.20,50.41,30.59,0.47708,6.15,1.08,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=YHOO
YUM,Yum Brands,Consumer Discretionary,71.46,2.52,34.14,2.09,4.23,66.35,95.90,30.82,2.79,2.36,17.01,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=YUM
ZBH,Zimmer Biomet Holdings,Health Care,104.63,0.86,109.33,0.96,49.05,88.77,121.84,21.32,2.09,4.01,2.12,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=ZBH
ZION,Zions Bancorp,Financials,25.745,0.880,23.533,1.094,32.475,23.720,33.030,5.26,0.00,2.632,0.814,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=ZION
ZTS,Zoetis,Health Care,48.29,0.79,54.88,0.88,2.47,37.73,55.38,24.04,1.43,4.97,19.47,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=ZTS
